# Top 100 California institutions by Fall 2024 enrollment.
# Source: IPEDS fall_enrollment_2024 (efalevel=1, grand total).
# Includes UC system, CSU system, California Community Colleges, and
# the largest private institutions (USC, Stanford, etc.).
# unitid | enrollment | name                                                  | carnegie
116439 |  13018 | Irvine Valley College                                   | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
114716 |  12949 | Foothill College                                        | Baccalaureate/Associate's Colleges: Associate's Dominant
113573 |  12861 | College of the Desert                                   | Associate's Colleges: High Transfer-High Traditional
111920 |  12842 | Chabot College                                          | Associate's Colleges: High Transfer-High Traditional
117724 |  12519 | Los Angeles Trade Technical College                     | Associate's Colleges: High Career & Technical-High Nontraditional
118718 |  12472 | Merced College                                          | Associate's Colleges: High Transfer-High Traditional
122889 |  12334 | Santa Barbara City College                              | Associate's Colleges: High Transfer-High Traditional
110574 |  12326 | California State University-East Bay                    | Doctoral Universities: High Research Activity
125028 |  12222 | Ventura College                                         | Associate's Colleges: High Transfer-High Traditional
115001 |  12075 | Glendale Community College                              | Associate's Colleges: High Transfer-High Traditional
460394 |  11920 | Moreno Valley College                                   | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
110361 |  11902 | California Baptist University                           | Masters Colleges & Universities: Larger Programs
399212 |  11897 | Santiago Canyon College                                 | Associate's Colleges: High Transfer-High Traditional
118912 |  11478 | MiraCosta College                                       | Baccalaureate/Associate's Colleges: Associate's Dominant
108807 |  11463 | Allan Hancock College                                   | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
460464 |  11351 | Norco College                                           | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
113193 |  11283 | Cuesta College                                          | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
115393 |  11273 | Hartnell College                                        | Associate's Colleges: High Transfer-High Traditional
444219 |  11098 | Folsom Lake College                                     | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
110246 |  10968 | Butte College                                           | Associate's Colleges: High Career & Technical-High Traditional
115126 |  10721 | Golden West College                                     | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
117867 |  10690 | Los Angeles Mission College                             | Associate's Colleges: High Transfer-High Nontraditional
112172 |  10429 | Citrus College                                          | Associate's Colleges: High Transfer-High Traditional
110486 |  10419 | California State University-Bakersfield                 | Masters Colleges & Universities: Larger Programs
489201 |  10358 | Clovis Community College                                | Associate's Colleges: High Transfer-High Nontraditional
117946 |  10179 | Loyola Marymount University                             | Doctoral Universities: High Research Activity
122791 |   9901 | College of San Mateo                                    | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
111948 |   9760 | Chapman University                                      | Doctoral Universities: High Research Activity
122931 |   9728 | Santa Clara University                                  | Doctoral/Professional Universities
110495 |   9724 | California State University-Stanislaus                  | Masters Colleges & Universities: Larger Programs
